signal,events
P-1,"[[1325872800, 1330192800], [1377432000, 1384084800], [1355896800, 1361080800]]"
S-1,"[[1392768000, 1402423200]]"
E-1,"[[1387627200, 1388275200], [1400803200, 1411084800]]"
E-2,"[[1400544000, 1430719200]]"
E-3,"[[1389657600, 1460505600]]"
E-4,"[[1397347200, 1458064800]]"
E-5,"[[1400587200, 1407499200]]"
E-6,"[[1400803200, 1402207200]]"
E-7,"[[1393740000, 1399788000]]"
E-8,"[[1396267200, 1409702400]]"
E-9,"[[1399507200, 1407067200]]"
E-10,"[[1387627200, 1388707200], [1400608800, 1406440800]]"
E-11,"[[1387627200, 1388707200], [1400889600, 1406138400]]"
E-12,"[[1400803200, 1412272800], [1387627200, 1388707200]]"
E-13,"[[1394301600, 1396483200], [1400587200, 1401451200], [1418925600, 1421517600]]"
A-1,"[[1380931200, 1382745600]]"
D-1,"[[1392357600, 1464609600]]"
P-2,"[[1393912800, 1420372800]]"
P-3,"[[1395748800, 1424584800]]"
D-2,"[[1372917600, 1464004800]]"
D-3,"[[1392487200, 1463227200]]"
D-4,"[[1391472000, 1462212000]]"
A-2,"[[1370736000, 1373112000]]"
A-3,"[[1375336800, 1379332800]]"
A-4,"[[1373803200, 1376179200]]"
G-1,"[[1381363200, 1383955200]]"
G-2,"[[1357992000, 1358856000]]"
D-5,"[[1376416800, 1377496800]]"
D-6,"[[1378641600, 1380369600]]"
D-7,"[[1379916000, 1438452000]]"
F-1,"[[1395856800, 1398016800]]"
P-4,"[[1294293600, 1297101600], [1320213600, 1324533600], [1376805600, 1379181600]]"
G-3,"[[1364817600, 1365897600]]"
T-1,"[[1331337600, 1363716000], [1420999200, 1421755200]]"
T-2,"[[1426831200, 1465646400]]"
D-8,"[[1368014400, 1369094400]]"
D-9,"[[1408212000, 1438560000]]"
F-2,"[[1401667200, 1470916800]]"
G-4,"[[1373824800, 1374472800]]"
T-3,"[[1324857600, 1326628800], [1391860800, 1394020800]]"
D-11,"[[1366048800, 1367344800]]"
D-12,"[[1336003200, 1400565600]]"
B-1,"[[1379311200, 1380823200]]"
G-6,"[[1400608800, 1402768800]]"
G-7,"[[1349092800, 1351252800], [1379332800, 1380412800], [1433548800, 1436032800]]"
P-7,"[[1385964000, 1421604000]]"
R-1,"[[1376913600, 1378641600]]"
A-5,"[[1292047200, 1293127200]]"
A-6,"[[1272974400, 1273838400]]"
A-7,"[[1413525600, 1465365600]]"
D-13,"[[1359115200, 1362571200]]"
P-2,"[[1392832800, 1417024800]]"
A-8,"[[1332568800, 1420156800]]"
A-9,"[[1332568800, 1421431200]]"
F-3,"[[1400587200, 1401451200]]"
M-6,"[[1291183200, 1295071200]]"
M-1,"[[1289109600, 1313733600]]"
M-2,"[[1289088000, 1313712000]]"
S-2,"[[1256860800, 1257076800]]"
P-10,"[[1409616000, 1412424000]]"
T-4,"[[1291809600, 1293278400]]"
T-5,"[[1292414400, 1292954400]]"
F-7,"[[1298656800, 1302976800], [1329328800, 1331920800], [1343476800, 1345636800]]"
M-3,"[[1288418400, 1293818400]]"
M-4,"[[1289260800, 1294660800]]"
M-5,"[[1288310400, 1294790400]]"
P-15,"[[1326974400, 1327406400]]"
C-1,"[[1275912000, 1280232000], [1309392000, 1311768000]]"
C-2,"[[1240185600, 1242345600], [1267185600, 1267941600]]"
T-12,"[[1255759200, 1258351200]]"
T-13,"[[1257055200, 1259215200], [1283191200, 1286431200]]"
F-4,"[[1324209600, 1325721600]]"
F-5,"[[1350216000, 1353456000]]"
D-14,"[[1332007200, 1332439200], [1335679200, 1339999200]]"
T-9,"[[1243749600, 1244397600], [1246125600, 1247853600]]"
P-14,"[[1378447200, 1382335200]]"
T-8,"[[1252368000, 1253664000], [1262304000, 1263168000]]"
P-11,"[[1341554400, 1344146400], [1329890400, 1332180000]]"
D-15,"[[1294617600, 1308441600]]"
D-16,"[[1261720800, 1275760800]]"
M-7,"[[1272002400, 1274162400]]"
F-8,"[[1331726400, 1346306400]]"
